,Course Number,Course Title,Course Description,Terms,Units,Instructors
207,MGTECON 526:,Inclusive Economic Growth and Poverty Reduction in Developing Countries,"Poverty rates have fallen markedly in countries around the world, as more households have joined the lower middle-class. Indeed, though U.S. income inequality has increased, inequality has fallen around the world. However, by developed country standards, poverty remains pervasive. What has caused the decline in rates of poverty and can we expect further decreases or can we act to accelerate the improvements? One answer is that countries that have experienced 'inclusive growth'?, in which the growth of the economy (i.e., GDP) has elevated the incomes of the poor, have done better at creating jobs for the poor, especially in the private sector. Therefore, the class will consider the evidence on the factors that have contributed to inclusive economic growth in developing countries. A second answer as to why poverty has fallen, but remains at high levels, is that governments and aid agencies and foundations have targeted programs to the poor. This course discusses macroeconomic policy, targeted government policies, aid, and entrepreneurship in developing countries. Examples will be given from Latin America, South Asia, and Africa. The course is co-taught by a Stanford economist and a World Bank consultant and will build on examples from recent experiences. The class is aimed at GSB students who are either intellectually curious about the topic or anticipate doing business in developing countries.",Last offered: Winter 2024,2,
208,MGTECON 533:,Economics of Strategy and Organization,"The goal of this class is to combine economic theory and business practice to develop insights for business strategy and organization design. We will discuss strategies and organizations of companies, identify potential problems and explore potential solutions. Some of the topics to be covered will be why many established companies find it hard to innovate (and what strategies can mitigate those problems), business-model innovation, and what economic and practical problems arise when companies need to stop projects. The course will be based on a mixture of formal and informal cases.",Spr,2,"; Skrzypacz, A. (PI); Aron-Gilat, A. (SI); Flores-Solano, J. (GP)"
209,MGTECON 540:,Data Science and Experimentation for Decision Making,"In this course we will discuss statistical and econometric methods for assisting in decision making. We will discuss experimental designs, ranging from classical A/B tests to modern designs in use at leading tech companies. We will also discuss methods for observational studies, and how one can ensure that the results based on such studies lead to credible decision making. The methods will draw on the econometric literature as well as the modern machine learning literature. Students will be asked to analyze data and prepare reports and presentations based on them.",Last offered: Spring 2023,2,
210,MGTECON 583:,Measuring Impact in Business and Social Enterprise,"Businesses are increasingly expected to have a positive social impact, as evidenced by the rapid growth of impact investing.  Yet, even as the impact investing market has taken off, impact measurement has lagged, undermining the credibility of the sector.  Impact measurement is also critical to individual firms, not-for-profits and governments, as they face increased pressure to generate quantifiable results. How can we measure impact?  What are some of the most effective frameworks, tools and approaches for impact measurement?  How does one choose the most appropriate measurement tool based on factors such as the size, maturity and sector of an organization? Can impact be distilled down to a single monetary measure, such as a dollar? These and other questions will be explored in considerable depth, primarily through analysis and discussion of case studies. This course is a good match for students interested in impact measurement, impact investing, profit-with-purpose businesses or the role of business in society. The course will be taught by Matt Bannick, who led the impact investing firm, Omidyar Network, and served as the President of PayPal and of eBay International.",Win,2,"; Bannick, M. (PI); Shaker, S. (GP)"
211,MGTECON 600:,Microeconomic Analysis I,"This course provides an introduction to the foundations of modern microeconomic theory. Topics include choice theory, with and without uncertainty, consumer and producer theory, dynamic choice and dynamic programming, social choice and efficiency, and fundamentals of general equilibrium.",Aut,4,"; Sugaya, T. (PI); Molina, M. (GP)"
212,MGTECON 601:,Microeconomic Analysis II,"This course studies the roles of information, incentives and strategic behavior in markets. The rudiments of game theory are developed and applied to selected topics regarding auctions, bargaining, and firms' competitive strategies; information economics; and contracting and market design.",Win,3,"; Zhong, W. (PI); Abaya, S. (GP)"
213,MGTECON 602:,"Auctions, Bargaining, and Pricing","This course covers mostly auction theory, bargaining theory and related parts of the literature on pricing. Key classic papers covered in the course are Myerson and Satterthwaite on dynamic bargaining, Myerson on optimal auctions, and Milgrom and Weber's classic work, the Coase Conjecture results. We also cover a few more recent developments related to these topics, including dynamic signaling and screening. In some years we also cover topics in matching theory.",Spr,3,"; Skrzypacz, A. (PI); Flores-Solano, J. (GP)"
214,MGTECON 603:,Econometric Methods I,"This is the first course in the sequence in graduate econometrics. The course covers some of the probabilistic and statistical underpinnings of econometrics, and explores the large-sample properties of maximum likelihood estimators. You are assumed to have introductory probability and statistics and matrix theory, and to have exposure to basic real analysis. Topics covered in the course include random variables, distribution functions, functions of random variables, expectations, conditional probabilities and Bayes' law, convergence and limit laws, hypothesis testing, confidence intervals, and maximum likelihood estimation.",Aut,4,"; Hong, H. (PI); Romano, J. (PI); Molina, E. (GP)"
215,MGTECON 604:,Econometric Methods II,"Second course in the PhD sequence in econometrics at the Economics Department (as Econ 271) and at the GSB (as MGTECON 604). This course presents modern econometric methods with a focus on regression. Among the topics covered are: linear regression and its interpretation, robust inference, asymptotic theory for maximum-likelihood und other extremum estimators, generalized method of moments, Bayesian regression, high-dimensional and non-parametric regression, binary and multinomial discrete choice, resampling methods, linear time-series models, and state-space models. As a prerequisite, this course assumes working knowledge of probability theory and statistics as covered in Econ 270/MGTECON 603.",Win,4,"; Spiess, J. (PI); Bocola, L. (SI); Rice, R. (GP)"
216,MGTECON 605:,Econometric Methods III,"This course covers more advanced methods in conventional econometrics. It contrasts nonparametric and semiparametric methods with more conventional nonlinear parametric econometric models. It covers nonparametric density and regression estimators, discrete and continuous semiparametric models, nonlinear parametric methods, GMM, simulated GMM, and other advanced parametric models, including simple machine learning models. An emphasis is placed on computation, including essential numerical and optimization techniques used in econometrics. Applications in different fields (e.g., finance, economics, marketing, accounting) are considered throughout. The instructor also will explore the difference between predictive and structural econometric models.",Aut,3,"; Reiss, P. (PI); Bagalso, R. (GP)"
217,MGTECON 606:,Microeconomic Theory for Non-Economist PhDs,"This course will be a first quarter PhD course in microeconomic theory, aimed at PhD students who do not plan to become professional economists. Relative to a course geared to economics PhDs the class will differ in two important ways. First, there will be almost no emphasis on proofs. Second, the topics covered will be broader than the standard set covered in say Econ 202.",Aut,3,"; Bulow, J. (PI); Smeton, K. (GP)"
218,MGTECON 607:,Methods for Applied Econometrics,"The course provides an introduction to modern econometric methods for causal inference. We discuss classical randomized experiments as well as modern methods for experimentation. We also discuss observational methods for cross section settings, including matching, propensity score methods and doubly robust methods. We also cover methods for dealing with selection on unobservables, including regression discontinuity designs, instrumental variables. We also discuss methods for panel data settings including fixed effect methods, difference-in-differences and synthetic controls.",Spr,3,"; Imbens, G. (PI); Flores, K. (GP)"
219,MGTECON 608:,Multiperson Decision Theory,"Students and faculty review and present recent research papers on basic theories and economic applications of decision theory, game theory and mechanism design. Applications include market design and analyses of incentives and strategic behavior in markets, and selected topics such as auctions, bargaining, contracting, signaling, and computation.",Spr,3,"; Wilson, R. (PI); Fajardo Montes, M. (GP)"
220,MGTECON 610:,Macroeconomics,"This course covers various topics in macroeconomics and is designed to expose students to macroeconomic methods, classic papers in the field, and the latest research at the frontier. The current focus is on economic growth. Using theoretical and empirical tools, we consider questions like: How do we understand long-run growth in per capita income? Why are some countries so much richer than others? Other topics include misallocation as a source of TFP differences, the direction of technical change, growth and the environment, the rise in health spending, patenting, and international trade. This course satisfies the GSB PhD macro requirement.",Aut,4,"; Jones, C. (PI); Klenow, P. (SI); Flores-Solano, J. (GP)"
221,MGTECON 612:,Advanced Macroeconomics II,"This is an advanced class in macroeconomics. We cover monetary and business cycles models, labor models, and HANK models. Students enrolled in MGTECON 612 take the class for 4 units. Students develop a research proposal and present it to the instructors as the final exam. Prerequisite: Satisfaction of the economics department's core macro requirement or consent of the instructors.",Win,4,"; Auclert, A. (PI); Di Tella, S. (PI); Rice, R. (GP); Rivera, S. (GP)"
222,MGTECON 614:,Emerging Topics in Econometrics,"Emerging Topics in Econometrics- In this course we will discuss emerging topics in econometrics. Possible topics include reanalyses of widely used econometric methods in more challenging settings (e.g., negative weights of two-way-fixed-effect regression), partial identification, design of randomized experiments, empirical Bayes methods, shrinkage estimators and regularized regression (e.g., LASSO), matrix completion methods for panel and network data, adversarial methods, interference and peer effects, randomization inference, regression adjustment techniques in experiments, sensitivity analysis, and decision making under ambiguity. Students are expected to read recent research papers, write short summaries and discussions of them, and work on a final research project that has the potential to be developed into a full-blown paper.",Aut,3,"; Lei, L. (PI); Molina, M. (GP)"
223,MGTECON 616:,Topics in Microeconomic Theory,"This course covers foundational topics in microeconomic theory and is suitable for students who have completed the first year of their PhD studies and have taken a game theory or another advanced theory course. Sample topics include the notions of interactive knowledge and beliefs of economic agents, epistemics of solution concepts, strategies in continuous time and (adversarial) prediction testing. The course combines lectures with workshop sessions where students confront related research-type problems. Students are asked to present their original solutions to the class and are expected to participate in class discussions.",Win,3,"; Feinberg, Y. (PI); Fajardo Montes, M. (GP)"
224,MGTECON 617:,Heterogeneity in Macroeconomics and Finance,"The goal of this course is to introduce students to frontier research in quantitative macroeconomics and finance with heterogeneous agents. We study models with imperfect financial markets and/or search frictions. We emphasize theory and numerical methods as well as tools to confront model predictions with both micro and macro data. Potential applications cover a wide range of topics in household finance, corporate finance and firm dynamics, asset pricing, housing and labor markets, business cycles and growth.",Win,3,"; Tonetti, C. (PI); Schneider, M. (SI); Dubon, M. (GP)"
225,MGTECON 618:,Social Insurance and Urban Economics,"The course covers various topics relating to social insurance and urban economics. The first half of the course covers the rationale for government interventions into private insurance markets, adverse selection, social insurance design and the intersection between social insurance and intra-family insurance. The second half of the course covers topics in urban economics, such as spatial equilibrium, placed-based policies, and housing policy.",Win,4,"; Diamond, R. (PI); Persson, P. (SI); Yan, J. (GP)"
226,MGTECON 626:,Continuous-time Methods in Economics and Finance,"Continuous-time methods can, in many cases, lead to more powerful models to understand economic phenomena. The Black-Scholes option-pricing formula is significantly more tractable than discrete- time methods of option pricing based on binomial trees. There is an established tradition in continuous-time asset pricing, and there is increasing use of these methods in other fields, such as game theory, contract theory, market microstructure and macroeconomics.  The goal of this class is to explore some of the old classic research as well as new economic models, and to discover areas of economics where continuous-time methods can help. The intention is to give graduate students a tool, which they can use to gain comparative advantage in their research, when they see appropriate.  With this goal in mind, 25% of the class will focus on mathematics, but with economically relevant examples to illustrate the mathematical results. Up to one half of the class will cover established models, and the rest will focus on new papers. If students have their own work that uses continuous time, we can take a look at that as well. Coursework will include biweekly problem sets and a short final research project. There will also be room for short student presentations (related to homework assignments, economic papers, or definitions and results related to specific math concepts).",Win,3,"; Sannikov, Y. (PI); Rivera, S. (GP)"
227,MGTECON 628:,Reading Group in Industrial Organization,"The primary purpose of the course is to read and discuss current working papers in Industrial Organization and related fields (e.g., Econometrics, Marketing, and Labor).  Students are required to present papers a couple of times per quarter and both students and faculty may also present their own working papers.","Aut, Win, Spr",1,"; Benkard, L. (PI); Flores, K. (GP)"
228,MGTECON 629:,Faculty Research Workshop,"Each week, a different economics faculty member will discuss his or her important and /or current research. The course is an important introduction to PhD level research topics and techniques. Attendance is mandatory.",Last offered: Winter 2024,3,
229,MGTECON 630:,Industrial Organization,"This is an introductory course in Industrial Organization. The goal is to provide broad general training in the field, introducing you to the central questions around imperfect competition, market structure, innovation and regulation, as well as the models and empirical methods commonly used to tackle these questions.",Aut,4,"; Somaini, P. (PI); Cuesta, J. (SI); Einav, L. (SI); Flack, E. (TA); Kankolongo Ngoba, N. (GP)"
230,MGTECON 634:,Machine Learning and Causal Inference,"This course will cover statistical methods based on the machine learning literature that can be used for causal inference. In economics and the social sciences more broadly, empirical analyses typically estimate the effects of counterfactual policies, such as the effect of implementing a government policy, changing a price, showing advertisements, or introducing new products. This course will review when and how machine learning methods can be used for causal inference, and it will also review recent modifications and extensions to standard methods to adapt them to causal inference and provide statistical theory for hypothesis testing. We consider causal inference methods based on randomized experiments as well as observational studies, including methods such as instrumental variables and those based on longitudinal data. We consider the estimation of average treatment effects as well as personalized policies. Lectures will focus on theoretical developments, while classwork will consist primarily of empirical applications of the methods.  Prerequisites: Prior coursework in empirical methods for causal inference in observational studies, including instrumental variables, fixed effects modeling, regression discontinuity designs, etc. Students should be comfortable reading and engaging with empirical research in economics or related fields.",Last offered: Spring 2023,3,
231,MGTECON 640:,Quantitative Methods for Empirical Research,"This is an advanced course on quantitative methods for empirical research. Students are expected to have taken a course in linear models before. In this course I will discuss modern econometric methods for nonlinear models, including maximum likelihood and generalized method of moments. The emphasis will be on how these methods are used in sophisticated empirical work in social sciences. Special topics include discrete choice models and methods for estimating treatment effects.",Last offered: Autumn 2023,3,
232,MGTECON 691:,"PhD Directed Reading (ACCT 691, FINANCE 691, GSBGEN 691, HRMGT 691, MKTG 691, OB 691, OIT 691, POLECON 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Akbarpour, M. (PI); Allende Santa Cruz, C. (PI); Athey, S. (PI); Benkard, L. (PI); Bulow, J. (PI); Camara, M. (PI); Di Tella, S. (PI); Diamond, R. (PI); Feinberg, Y. (PI); Imbens, G. (PI); Jones, C. (PI); Lei, L. (PI); Levin, J. (PI); Ostrovsky, M. (PI); Oyer, P. (PI); Saloner, G. (PI); Sannikov, Y. (PI); Shaw, K. (PI); Skrzypacz, A. (PI); Somaini, P. (PI); Suarez Serrato, J. (PI); Sugaya, T. (PI); Tonetti, C. (PI); Vasserman, S. (PI); Yurukoglu, A. (PI); Zhong, W. (PI); Abaya, S. (GP); Dubon, M. (GP)"
233,MGTECON 692:,"PhD Dissertation Research (ACCT 692, FINANCE 692, GSBGEN 692, HRMGT 692, MKTG 692, OB 692, OIT 692, POLECON 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Akbarpour, M. (PI); Allende Santa Cruz, C. (PI); Athey, S. (PI); Benkard, L. (PI); Bulow, J. (PI); Camara, M. (PI); Di Tella, S. (PI); Diamond, R. (PI); Feinberg, Y. (PI); Imbens, G. (PI); Jones, C. (PI); Lei, L. (PI); Levin, J. (PI); Ostrovsky, M. (PI); Oyer, P. (PI); Saloner, G. (PI); Sannikov, Y. (PI); Shaw, K. (PI); Skrzypacz, A. (PI); Somaini, P. (PI); Suarez Serrato, J. (PI); Sugaya, T. (PI); Tonetti, C. (PI); Vasserman, S. (PI); Yurukoglu, A. (PI); Zhong, W. (PI); Flores-Solano, J. (GP)"
234,MGTECON 698:,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Akbarpour, M. (PI); Allende Santa Cruz, C. (PI); Athey, S. (PI); Benkard, L. (PI); Bulow, J. (PI); Camara, M. (PI); Di Tella, S. (PI); Diamond, R. (PI); Feinberg, Y. (PI); Imbens, G. (PI); Jones, C. (PI); Lei, L. (PI); Levin, J. (PI); Ostrovsky, M. (PI); Oyer, P. (PI); Saloner, G. (PI); Sannikov, Y. (PI); Shaw, K. (PI); Skrzypacz, A. (PI); Somaini, P. (PI); Suarez Serrato, J. (PI); Sugaya, T. (PI); Tonetti, C. (PI); Vasserman, S. (PI); Yurukoglu, A. (PI); Zhong, W. (PI)"
235,MGTECON 699:,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Akbarpour, M. (PI); Allende Santa Cruz, C. (PI); Athey, S. (PI); Benkard, L. (PI); Bulow, J. (PI); Camara, M. (PI); Di Tella, S. (PI); Diamond, R. (PI); Feinberg, Y. (PI); Imbens, G. (PI); Jones, C. (PI); Lei, L. (PI); Levin, J. (PI); Ostrovsky, M. (PI); Oyer, P. (PI); Saloner, G. (PI); Sannikov, Y. (PI); Shaw, K. (PI); Skrzypacz, A. (PI); Somaini, P. (PI); Suarez Serrato, J. (PI); Sugaya, T. (PI); Tonetti, C. (PI); Vasserman, S. (PI); Yurukoglu, A. (PI); Zhong, W. (PI); Abaya, S. (GP); Dubon, M. (GP); Flores, K. (GP); Flores-Solano, J. (GP); Lion-Transler, C. (GP); Long, M. (GP); Rice, R. (GP); Sonora, P. (GP); Yan, J. (GP)"
236,MGTECON 802:,"TGR Dissertation (ACCT 802, FINANCE 802, GSBGEN 802, HRMGT 802, MKTG 802, OB 802, OIT 802, POLECON 802, STRAMGT 802)",,"Aut, Win, Spr, Sum",0,"; Akbarpour, M. (PI); Allende Santa Cruz, C. (PI); Athey, S. (PI); Benkard, L. (PI); Bulow, J. (PI); Camara, M. (PI); Di Tella, S. (PI); Diamond, R. (PI); Feinberg, Y. (PI); Imbens, G. (PI); Jones, C. (PI); Lei, L. (PI); Levin, J. (PI); Ostrovsky, M. (PI); Oyer, P. (PI); Saloner, G. (PI); Sannikov, Y. (PI); Shaw, K. (PI); Somaini, P. (PI); Suarez Serrato, J. (PI); Sugaya, T. (PI); Tonetti, C. (PI); Vasserman, S. (PI); Yurukoglu, A. (PI); Zhong, W. (PI); Flores, K. (GP); Lion-Transler, C. (GP); Long, M. (GP); Yan, J. (GP)"
237,MKTG 240:,Marketing Management,"The objectives of this course are to introduce students to the substantive and procedural aspects of marketing management. Specifically, the goals are to introduce students to marketing strategy and the elements of marketing analysis; to familiarize students with the elements of the marketing functions (creating value, delivering value, capturing value, communicating value); and to provide students with a forum (both written and verbal) for practicing and presenting their own recommendations as well as for critically examining the recommendations of others. Students will develop their own business idea throughout the quarter, apply the marketing concepts and tools discussed in class, and collect feedback from their classmates. Each session will have a lecture followed by an interactive discussion.",Last offered: Winter 2024,3,
238,MKTG 243:,"Marketing Management, Accelerated","The objective of this course is to introduce you to modern marketing practice at an accelerated level. Marketing is key to the success of an organization and requires an ability to design and execute a coherent strategy across a number of different dimensions. Specifically, we study in depth each of the tactical P's - price, promotion, product, and place (distribution) - and do so through the structural lens of the three C's - customer, competition, and company, with a particular focus on the customer. Going beyond the fundamentals, the course emphasizes two specific areas of specialization and learning throughout. First, it focuses on data-driven techniques for assessing markets and teaches you which of these techniques apply to different marketing decision problems. Second, the course takes seriously the idea that consumers often want different things. It therefore focuses on how you can generate company value by understanding and serving heterogeneous consumer wants and needs.",Last offered: Winter 2022,3,
239,MKTG 249:,MSx: Marketing,"Our focus is on the question, ""When launching a product, what are the framing issues that will help determine success?"" In particular, we will provide you with tools to analyze market situations and determine whether it makes sense to launch a product or engage in a marketing-related investment. The course is not designed to cover issues such as execution of a strategy (although we will touch on this a bit), but on whether to enter a market to begin with. Thus, the course is decision oriented; we want you to think about market entry decisions and how you would make them. The tools that you will be provided won't consist of equations; instead, we'll arm you with a set of questions to ask, whose answers will help you make better decisions.This course is an advanced applications marketing course. Unlike the base core course that is designed to cover every basic topic in marketing, here we focus on a number of basic questions and explore them in depth. Although we will have some lectures for background, the bulk of this endeavor will be accomplished through case discussions. In other words, we can't and won't cover everything, as this course is not designed to be comprehensive. We are going to rely on your academic background in marketing to cover the basics; here and there, it is possible that some material will be a review of what you've done before (there's nothing wrong with a little de ja vu). Unfortunately, due to the tight schedule we will not be able to cover any of the basics that are not already included in the course material. The course includes, cases, lectures, and guest lectures.",Last offered: Summer 2024,2,
240,MKTG 321:,Understanding AI Technology for Business Problems,"This course aims to equip students with practical AI and ML knowledge for solving real-world business problems. The main focus will be demystifying these technical concepts to help future product managers and entrepreneurs to better communicate with technical people on the team. We will start with introducing the vocabulary used in AI and ML, and then dive into some technical discussions on how to build these AI technologies to solve specific business problems. The topics covered range from recommender systems, multi-sided platforms, human-centered AI and generative AI, with technical discussions on multi-objective optimization, machine learning and reinforcement learning, and large language models (LLMs). There will also be guest lecturers from across the industry to provide additional insights and real-world examples. This course is recommended for MBA2 and MSx students who have already completed Data and Decisions, and MBA1s with a strong statistical background.",Win,3,"; Wang, Y. (PI); Rivera, S. (GP)"
241,MKTG 325:,Go To Market,"Startups as well as established firms innovate to develop new products. Success in the marketplace depends not just on developing great products, but also developing a comprehensive strategy to take it to the marketplace. This involves identifying the right target market, developing a monetization plan, a communication and promotion plan, as well as a channel strategy. This course will aim to develop a thorough understanding of how firms can develop a go-to-market strategy for their new products. Through a mix of lectures, case studies, exercises and guest sessions, students will learn how to develop a go-to-market strategy, identify key metrics for success and how to evaluate the performance of their strategy.",Spr,3,"; Narayanan, S. (PI); Davis, S. (GP)"
242,MKTG 326:,Customer Acquisition for New Ventures,"The focus of this course is on the strategies and methods used by early-stage companies to acquire customers (through outbound or inbound marketing) and to activate and retain them (i.e., to encourage repeat behavior and/or increase the frequency of interaction). Throughout the course, we will examine topics such as search engine marketing (SEM), content marketing, affiliate marketing, social media campaigns, mobile applications, freemium strategies, and the use of web analytics for tracking customer acquisition and conversion. The focus will be mainly on digital marketing channels, and the emphasis will be more B2C than B2B. Instruction will consist of case discussion, exercises and simulations, and guest lectures, with students working in groups to apply their learning to improve the process of customer acquisition.",Spr,3,"; Donkor, K. (PI); Kankolongo Ngoba, N. (GP)"
243,MKTG 332:,Persuasion: Principles and Practice,"Understanding persuasion is essential to having influence in virtually any environment- at work, in a sales pitch, in the marketplace, and even at home. Whether you want to get colleagues on board with your idea, clients or investors interested in your company, or even family members to change their health behaviors, having persuasion knowhow will make you more effective. The aim of this course is to provide insight into the psychology of persuasion. We will take an evidence-based approach to explore what persuades and why. The goal is to give you access to the science of persuasion, and to help you identify and design new persuasion strategies that leverage this science. By the end of the course, you will have a deep understanding of persuasion and a toolkit that will help you enhance your persuasive impact in a wide range of situations.",Last offered: Winter 2024,3,
244,MKTG 344:,Market Research: Using Data to Uncover Customer Needs,"How large is the market for a product, what is important for the target segment? How does change in the product design affect profitability? This course aims to help students ask such business questions and find data-driven answers to them. The main objectives are to equip students with: 1) an understanding of the value of data - what intelligence it can and cannot provide, 2) exposure to state-of-the-art quantitative tools including conjoint analysis, and unsupervised machine learning techniques such as cluster analysis to analyze the data, and 3) sufficient hands-on experience with these tools for answering students' own business questions from the perspective of an entrepreneur, marketer or a consultant. The course is designed to address substantive product management and marketing problems such as: market segmentation, targeting, forecasting demand, pricing, and developing new products. We will use a mix of lectures, exercises, cases and a project to learn the material.",Win,3,"; Sahni, N. (PI); Rice, R. (GP)"
245,MKTG 346:,Humor: Serious Business,"There exists a mistaken belief in today's corporate world that we need to be serious all the time to be taken seriously. But the research tells a different story.  In this course, we delve into the behavioral science of humor, and why it is a secret weapon in leadership (and life) to garner influence, fuel creativity, defuse tension, foster resilience, and strengthen relationships on your teams and with customers. You'll learn frameworks for understanding your humor style (hint: everyone has one) and the style of others. You'll practice applying concrete tools from the world of comedy to deploy humor safely and effectively at work. You'll hear stories from inspiring leaders in business, politics, entertainment, and professional spots and the tactics they used to bridge the trust gap, boost engagement, and unlock agility in the face of change. Students will leave this class with  both a practical toolkit and a fundamental shift in mindset: navigating your life on the precipice of a smile. LEARNING OBJECTIVES: After completing the course, students will be able to: Reframe. Reframe challenging personal and professional moments with evidence-backed approaches tied to happiness and well-being. Storytell. Develop a Signature Story to present their personal and professional narratives in more engaging, memorable, humorous ways. Apply. Use concrete techniques grounded in professional comedy, behavioral science, and stories from leaders, for bringing humor safely and effectively into work and  leadership .Navigate the grey. De-risk humor; understand why humor fails happen, how to avoid them, and what to do when you accidentally cross a line. Teambuild. Apply strategies to create more bonded, effective, and creative teams. Deliver. Hone techniques to deliver more memorable, compelling, human stories.",Spr,3,"; Aaker, J. (PI); Bagdonas, N. (SI); Diemand-Yauman, C. (SI); McCool, T. (GP)"
246,MKTG 358:,Customer Experience Design (CxDesign),"CxDesign offers an interactive course that immerses participants in the realm of Design Thinking, enabling them to better understand leading brands that create captivating and unforgettable customer experiences. Drawing insights from experimental social and cognitive psychology, we will explore the decision-making processes employed by industry frontrunners throughout the customer journey. Guided by real-world examples and discussions with industry experts, student teams will employ human-centered design methods to conceive and visualize their own innovative proposals, aimed at elevating brand interactions and fostering meaningful, lasting experiences. Together, we will unlock the secrets of crafting impactful customer experiences and elevate our approach to brand building.",Win,3,"; Aka, A. (PI); Kessin, J. (SI); Rivera, S. (GP)"
247,MKTG 373:,Monetization,"This course examines the fundamental issues of creating a strategy for monetization and revenue growth within an organization. Students learn about setting an organization's business model design, aligning various functional areas within the company to implement a monetization strategy, and the tradeoffs that occur when choosing amongst profitable monetization policies for the firm. They master concepts, frameworks, and tools to assess an industry and a firm's pricing strategy and business models, and to craft alternatives. They also study the interplay between marketing and sales, advertising and data and analytics in shaping a winning monetization policy. Topics we will cover include monetizing online content and strategies in ad-driven industries, understanding freemium models and installed-base competition, monetization of consumer data, SaaS models and enterprise business, business models from the perspective of investors and venture capitalists, regulatory considerations, and linking monetization to the ability to measure and capture value. We will use a mix of cases and lectures along with extensive participation from industry leaders to bring to light the various issues in class. There is a bias towards technology-driven markets.",Last offered: Spring 2021,3,
248,MKTG 532:,Persuasion: Principles and Practice,"Understanding persuasion is essential to having influence in virtually any environment - at work, in a sales pitch, in the marketplace, and even at home. Whether you want to get colleagues on board with your idea, clients or investors interested in your company, or even family members to change their health behaviors, having persuasion knowhow will make you more effective. The aim of this course is to provide insight into the psychology of persuasion. We will take an evidence-based approach to explore what persuades and why. The goal is to give you access to the science of persuasion, and to help you identify and design new persuasion strategies that leverage this science. By the end of the course, you will have a deep understanding of persuasion and a toolkit that will help you enhance your persuasive impact in a wide range of situations.",Last offered: Autumn 2021,2,
249,MKTG 535:,Product Launch,"Our focus is on the question, ""When launching a product, what are the framing issues that will help determine success?"" In particular, we will provide you with tools to analyze market situations and determine whether it makes sense to launch a product or engage in a marketing-related investment. The course is not designed to cover issues such as execution of a strategy (although we will touch on this a bit), but on whether to enter a market to begin with. Thus, the course is decision oriented; we want you to think about market entry decisions and how you would make them. The tools that you will be provided won't consist of equations; instead, we'll arm you with a set of questions to ask, whose answers will help you make better decisions.This course is an advanced applications marketing course. Unlike the base core course that is designed to cover every basic topic in marketing, here we focus on a number of basic questions and explore them in depth. Although we will have some lectures for background, the bulk of this endeavor will be accomplished through case discussions. In other words, we can't and won't cover everything, as this course is not designed to be comprehensive. We are going to rely on your academic background in marketing to cover the basics; here and there, it is possible that some material will be a review of what you've done before (there's nothing wrong with a little de ja vu). Unfortunately, due to the tight schedule we will not be able to cover any of the basics that are not already included in the course material.The course includes, cases, lectures, and guest lectures.",Win,2,"; Levav, J. (PI); Siegelman, R. (SI); Davis, S. (GP)"
250,MKTG 540:,Marketing Theory and Practice,"Marketing Theory and Practice aims to be an exciting marketing core class. This course is designed to immerse students in both the theoretical frameworks and practical applications of marketing, with the objectives of 1) introducing students to marketing strategy and the essential components of marketing analysis, 2) familiarizing students with the core functions of marketing: creating, delivering, capturing, and communicating value, and 3) providing a dynamic forum for students to practice and present their own marketing recommendations, while critically engaging with the ideas of others. This course will explore the evolution of marketing through classic and contemporary cases, both providing fundamental insights into the field, including the new role of Gen-AI, through a combination of lectures, class exercises, projects, and case discussions, all aimed at ensuring everyone's active participation in their marketing education. Throughout the class, student teams will develop their own business ideas, applying marketing concepts and tools discussed in class, and gathering feedback from their peers.",Win,2,"; Ding, Y. (PI); Lion-Transler, C. (GP)"
251,MKTG 546:,Humor: Serious Business,"YOU, oh fearless leader of the future (and maybe present). Are very important. You will make critical and far-reaching economic, political, and social decisions in your quest beyond Stanford to change lives, change organizations, and change the world. That's serious stuff. So, why humor? The late journalist Eric Sevareid said ""Next to power without honor, the most dangerous thing in the world is power without humor.: Our goal is to pin you down and not let you leave Stanford without a healthy dose of humanity, humility, and intellectual perspective that only humor can bring. This class is about the power (and importance) of humor to make and scale positive change in the world, and also - surprise! - to achieve business objectives, build more effective and innovative organizations, cultivate stronger bonds, and capture more lasting memories. We will explore various aspects of levity and humor, reveal insight into what makes people laugh, and provide tools to harness humor safely and effectively in business. By the end of class, you should: Discover: (Re)discover humor in your stories and life; understand your unique style and the styles of others. Play: Apply techniques from comedians and play with incorporating humor into otherwise unfunny moments. Lead: Embed humor into your leadership style; understand the nuance of how to do this as your status shifts across roles and contexts. Activate: Amplify humor, using it to create cultures of levity in teams, organizations, and in the world. Welcome to your (re)introduction to humor. This course is a compressed version of MKTG 346.",Last offered: Summer 2021,2,
